sku,nom,marque,prix,note,lien,image,category
b38e8df1-f9a9-4160-a0a2-44f71ef56ae6,Baskets à scratch enfant- TS100,DECATHLON,"129,00 MAD",4820.0,https://www.decathlon.ma/p/125985-51283-baskets-a-scratch-enfant-ts100.html,https://contents.mediadecathlon.com/p2810418/1cr1/k$f4cbeaddfb90ff527dfd6f3113294429/prod.jpg?format=auto&f=1024x0,chaussures-enfants
38efa21e-0d20-40bf-bfa4-a352cfb56a01,Baskets à scratch enfant,DECATHLON,"129,00 MAD",4820.0,https://www.decathlon.ma/p/125985-59350-baskets-a-scratch-enfant.html,https://contents.mediadecathlon.com/p700490/1cr1/k$069fdfc121e01a94be7e45a3323c53da/prod.jpg?format=auto&f=1024x0,chaussures-enfants
c5dd421b-7d0a-4ad7-b015-ceb8780bffdc,Chaussures enfant à scratch légères - soft 140,DECATHLON,"149,00 MAD",13098.0,https://www.decathlon.ma/p/145009-131293-chaussures-enfant-a-scratch-legeres-soft-140.html,https://contents.mediadecathlon.com/p2810458/1cr1/k$f8a4b49f8d390273935b9ca28cbe5fad/prod.jpg?format=auto&f=1024x0,chaussures-enfants
1cb0192a-59f3-495c-90c8-9c57665e3cea,Chaussures enfant à scratch - TS130,DECATHLON,"159,00 MAD",2296.0,https://www.decathlon.ma/p/126008-26670-chaussures-enfant-a-scratch-ts130.html,https://contents.mediadecathlon.com/p2810618/1cr1/k$54ef77b4e0b16faa1f5440949a9d026b/prod.jpg?format=auto&f=1024x0,chaussures-enfants
12b6a09b-1bc9-4b49-b04c-d26393d435b2,Chaussures enfant à scratch - TS130,DECATHLON,"159,00 MAD",2296.0,https://www.decathlon.ma/p/126008-26657-chaussures-enfant-a-scratch-ts130.html,https://contents.mediadecathlon.com/p2822512/1cr1/k$0d988d56f39f6b42e3fed58f0c6637b3/prod.jpg?format=auto&f=1024x0,chaussures-enfants
fa183461-bbfc-4bd5-93e1-b6c82de0cbee,Chaussures de tennis à lacets Enfant - Essentiel blanc jaune,ARTENGO,"229,00 MAD",572.0,https://www.decathlon.ma/p/336701-120758-chaussures-de-tennis-a-lacets-enfant-essentiel-blanc-jaune.html,https://contents.mediadecathlon.com/p2561633/1cr1/k$7e7d278dfe1ca15076893e802b899326/prod.jpg?format=auto&f=1024x0,chaussures-enfants
525d73a3-d255-492f-af55-2a38b8b46995,CHAUSSETTES DE SPORT HAUTES ENFANT RS 60 NOIR GRIS LOT DE 3.,DECATHLON,"59,00 MAD",2530.0,https://www.decathlon.ma/p/300217-23993-chaussettes-de-sport-hautes-enfant-rs-60-noir-gris-lot-de-3.html,https://contents.mediadecathlon.com/p2979204/1cr1/k$89bf03e535b933fb42a402b5512d3381/prod.jpg?format=auto&f=1024x0,chaussures-enfants
6c0479f2-21ca-4e31-8390-8f1e3abebacd,"Chaussures à scratch et lacets élastiques légères enfant, Playful Fast Rose",DECATHLON,"199,00 MAD",2936.0,https://www.decathlon.ma/p/344877-114249-chaussures-a-scratch-et-lacets-elastiques-legeres-enfant-playful-fast-rose.html,https://contents.mediadecathlon.com/p2719493/1cr1/k$d12e6a0dd8b55d51e6e1fef7cd54bb43/prod.jpg?format=auto&f=1024x0,chaussures-enfants
df3309dd-ba50-421f-831d-9fc7e014fb07,"Chaussures de Running Femme, Jogflow 190.1 Blanc Violet",KIPRUN,"299,00 MAD",3023.0,https://www.decathlon.ma/p/339950-115174-chaussures-de-running-femme-jogflow-1901-blanc-violet.html,https://contents.mediadecathlon.com/p2638789/1cr1/k$b4be394023220aef946d551ef0d6020c/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
afc8bab2-caa2-4b6f-b034-110f0847c975,Chaussures femme ekiden one gris,DECATHLON,"149,00 MAD",3398.0,https://www.decathlon.ma/p/9711-72464-chaussures-femme-ekiden-one-gris.html,https://contents.mediadecathlon.com/p2917180/1cr1/k$93e30399437bdf3cac4ea9b9e11bd28c/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
